training_percent, mean, iqr, saved_time,technique 
0.5,0.000932951238409,8.53396444439e-05,264567.6846,base_line
0.6,0.000887436786793,6.64725880944e-05,217141.711665,base_line
0.7,0.000683612195665,2.94366279618e-05,158112.660925,base_line
0.8,0.000538348916926,4.13518854331e-05,103372.429995,base_line
0.9,0.000552243694221,3.56229808783e-05,51963.547165,base_line
0.5,0.140354432453,0.0825787636599,515505.376645,exemplar_where
0.6,0.0791502796296,0.019574988287,505347.78268,exemplar_where
0.7,0.103730377204,0.0381384074625,506371.483135,exemplar_where
0.8,0.0949545687567,0.0361858633855,506529.32012,exemplar_where
0.9,0.108432886288,0.097180931146,506056.326785,exemplar_where
0.5,0.0271919238179,0.00687841399231,481032.437875,east_west_where
0.6,0.0130660143866,0.00635845137999,454872.414625,east_west_where
0.7,0.0135034233642,0.00648505039284,452258.38552,east_west_where
0.8,0.0136664379723,0.00731896475706,452595.647675,east_west_where
0.9,0.0149834915007,0.00853492061349,450948.96363,east_west_where
